WTKT85937/498,19900,5970,70%
WFKT42021/661,29900,5980,80%
WFKT57635/419,25990,9097,65%
WFKT63257/413,18990,6647,65%
WFKT63267/669,18990,6647,65%
WFKJ52724/101,11000,5500,50%
WFKT52802/504,25990,10396,60%
WFWT116433/173,17350,8675,50%
WFWT127364/628,19150,9575,50%
WFWT126216/964,10100,5050,50%
WFKT24249/ANGL,9040,4520,50%
WFWT24043/ANGL,14640,4392,70%
WFWT24050/ANGL,9600,3360,65%
WFWT56724/651,21990,7697,65%
WFKT64636/009,12900,5160,60%
WFWT64965/136,17900,7160,60%
WFWT71908/106,18900,7560,60%
WFWT71908/180,18900,7560,60%
WFWT86337/109,15900,6360,60%
WFST103714/160,14900,5960,60%
WFKT56694/500,19990,5997,70%
WJW427/710,5900,2950,50%
YJRU8176/GOLD,11310,3959,65%
YJRU8301/RGLD,8240,2472,70%
YJRU8132/GOLD,4000,1200,70%
YJRU8264/GOLD,3900,1170,70%
YJRU8291/RGLD,6300,1890,70%
WFKB64785/968,10900,3270,70%
WIWD24588/SOPAL,15840,4752,70%
WFWB42888/469,18908,7563,60%
WFWB32470/492,15015,6006,60%
JWFWJ71094/467,11990,4796,60%
WTKB117068/734,8900,4450,50%
WFWB116530/417,19250,9625,50%
WTKB100922/009,10250,5125,50%
WFWB116692/174,17400,8700,50%
WTKB86102/009,11900,4165,65%
WTKB86102/419,11900,4165,65%
WFSB85786/419,24900,7470,70%
WTKB68022/689,12900,2580,80%
WTKB82730/009,9900,1980,80%
WTKB82730/419,9900,1980,80%
WTKJ85955/498,24900,7470,70%
WTKJ65984/009,17900,7160,60%
WFWJ85784/160,21900,7665,65%
WFWJ86312/419,30900,9270,70%
WFWJ86342/307,24900,7470,70%
WFKJ52587/420,33490,13396,60%
WFSJ57781/012,36490,14596,60%
WFWJ52530/507,27990,11196,60%
WFWJ52531/507,19990,7996,60%
WFWJ53160/712,29990,11996,60%
WFWJ53336/468,36490,14596,60%
WFKT86035/009,8500,2550,70%
WFKT86041/119,8500,2975,65%
WFKT89013/119,8500,2550,70%
JWFKT86036/692,3900,1560,60%
WFKT64662/119,6900,2760,60%
WFKT69337/119,6900,2760,60%
WFKT78470/119,5900,2360,60%
WFKT86026/119,5900,1770,70%
WFKT28808/119,6000,2400,60%
WFKT67979/154,6900,2760,60%
WTKR116668/417,12800,6400,50%
WFWR42033/537,39900,15960,60%
WFKR48071/303,29900,11960,60%
WFWR48212/425,39900,15960,60%
WTKR74276/119,17900,7160,60%
WTKR74276/419,17900,7160,60%
WFWR65666/054,22900,9160,60%
WTKR77858/653,12900,5160,60%
WFWD137855/416,21800,10900,50%
WFWD76759/950,24900,9960,60%
WFWD47772/662,19950,7980,60%
WFWD24031/ASIRE,13040,5216,60%
WFWD64955/135,25900,10360,60%
WFWD24020/INNI,13920,6960,50%
WFWD24005/SBUDS,17280,6048,65%
WFWD24020/PRPO,13920,6960,50%
WFWD28438/119,18000,7200,60%
WFKD42148/002,29900,8970,70%
WFWD41999/964,39900,7980,80%
WTKT25281/SOFT,12300,3690,70%
